run_id,rain_mult,imperv_mult,surf_n,infil_min,pipe_n,peak_discharge_cfs,total_flood_vol,num_flooded_nodes,continuity_error_pct,status
165,1.197570943129737,1.0148851434703772,0.0120932113394919,1.219065723356079,0.01433436074875065,24.27,0.0,0,0.031,ok
166,1.0910227677868234,0.9177357509918924,0.025994945672997746,0.8948348997855606,0.025374420753880814,18.45,0.0,1,0.007,ok
167,1.193492899527489,0.9702898933153783,0.015484630151112268,0.8201841100750876,0.022532445844028345,20.51,0.001,1,0.018,ok
168,1.3543800481952941,1.2558447657324276,0.025306231257452252,0.7941169118519544,0.0229284252654026,20.2,0.024,1,0.006,ok
169,1.2089765497253193,1.2719259913119514,0.014090061899268048,0.8528668149465324,0.01571346111407744,28.08,0.001,1,0.029,ok
170,1.248514493181085,0.7069605496085206,0.018187358651298807,1.0362535100419883,0.016501938398514115,17.68,0.0,0,0.029,ok
171,1.1520483185789203,1.2091198061145247,0.02932062210211519,0.8290007471843918,0.02245635325949972,20.57,0.007,1,0.015,ok
172,1.1324132537431684,1.2211226368280168,0.02210424751505901,1.0633471919259396,0.018672024626321417,24.21,0.002,1,0.02,ok
173,1.4473536427345952,0.9521613129528148,0.018607672297438902,0.07291039881623389,0.013538232900050906,27.6,0.0,0,0.024,ok
174,0.7500102394158277,0.7587722318865017,0.021222789463919124,0.11560628042696852,0.01640666612371975,11.25,0.0,0,0.028,ok
175,1.3417798862584192,1.0427264441342199,0.023261872965433212,0.14973465072619507,0.016639922403797573,26.61,0.0,1,0.024,ok
176,0.7873453760358002,0.9080778702929588,0.018374455507956473,0.07474384325578287,0.011372523797131476,14.24,0.0,0,0.032,ok
177,0.9665964704273872,0.8903270716208882,0.021179017869665005,0.3366276726483918,0.01146798664121104,17.14,0.0,0,0.032,ok
178,1.4066568355932656,1.1512541219297732,0.02839474332367637,1.160413118935196,0.014923366826605989,29.57,0.001,1,0.025,ok
179,1.4169903423169314,0.7476662639717542,0.015020320652137471,0.29306127820887384,0.024736163532548074,18.88,0.001,1,0.016,ok
180,1.411250533374005,1.1580886721921746,0.015216283421554401,1.0230036751130538,0.016739545370789845,26.64,0.005,1,0.024,ok
181,0.9853559692787957,1.1254053921320457,0.020115793701186872,0.9888679347574062,0.028544798589916164,16.57,0.006,1,0.006,ok
182,0.7995763143158284,0.8777479470432824,0.025329737609564473,0.7576447510360729,0.015978670066042026,13.72,0.0,0,0.028,ok
183,1.1576752013875713,1.2363138134313965,0.026954763845634742,1.2555170470732195,0.022150989866345547,20.82,0.008,1,0.011,ok
184,1.3814448353780713,1.1693850436506374,0.028228563265195062,0.7560271432333237,0.025889718169712042,18.13,0.026,1,0.005,ok
185,0.7635947912409596,1.0814076255700213,0.027839626540003798,1.0865057392058226,0.011998065081754253,15.82,0.0,0,0.031,ok
186,1.2867263474193438,1.261154496835494,0.02512061551135179,1.2425959565819422,0.019938650586468366,22.85,0.011,1,0.012,ok
187,0.9316690983559774,1.2316701533719143,0.01452941509717714,1.4626012459609714,0.015936184965465307,22.22,0.0,0,0.037,ok
188,1.174776736302158,1.2173842257567185,0.020683179301250847,0.5592006529992012,0.02781690534660212,16.98,0.02,1,-0.004,ok
189,1.294807585643163,1.1131477057583967,0.028409649283322715,0.11126373209441884,0.01292510575846201,27.85,0.0,0,0.026,ok
190,1.4351506393691396,1.1653019123153612,0.016462697732941095,0.11043236321772942,0.024606279277589314,18.97,0.028,1,0.005,ok
191,1.2265792178742312,0.7482671695440067,0.011854328862191066,1.0113772370450156,0.016717869664685064,18.43,0.0,0,0.029,ok
192,1.2767414911782766,1.0822785242983628,0.0222049933163501,1.3778355748266813,0.02183181451079786,21.09,0.007,1,0.012,ok
193,0.9488287507846618,1.0480561533701138,0.013425784078647016,0.8110921919990843,0.019694106744372643,19.75,0.0,0,0.028,ok
194,0.8771949046301974,0.7203639345054865,0.013807479774191871,1.1986411396178756,0.02086778174632367,12.58,0.0,0,0.025,ok
195,1.2046269932609366,1.199841983041613,0.029490782852680676,0.1035575303350964,0.017072884920104617,26.18,0.001,1,0.018,ok
196,1.2168182337623685,0.7374180305575553,0.028869818643956203,0.26324059803865957,0.0169981906693592,17.75,0.0,0,0.028,ok
197,0.9161269346267622,0.9767903355191419,0.015558095945791516,1.1713070293372492,0.026929810632841156,17.38,0.0,1,0.014,ok
198,0.7566036660080189,0.8334989936983062,0.028829841855413228,0.8874853316278664,0.027722896233988457,11.95,0.0,0,0.008,ok
199,1.0560992166353274,0.7700331836208829,0.025553912266641703,0.8997192313546075,0.024821325937333362,15.96,0.0,0,0.015,ok
200,1.2503006990295358,1.2778500855501562,0.020267096857827082,0.8789582525405429,0.01439597325310485,30.62,0.0,1,0.023,ok
201,1.4993713161734876,0.979693777059814,0.02835387205320489,1.4021940776276869,0.015884478221654112,27.79,0.0,1,0.024,ok
202,0.7325440779181931,0.7976803655719408,0.025194034209035158,0.8476448228255891,0.011518976881575311,11.5,0.0,0,0.032,ok
203,0.9685164231980011,1.0111862871269444,0.016819851712670298,0.4645832641541742,0.011172913957839937,19.59,0.0,0,0.032,ok
204,0.8873720196965003,0.8911004576572925,0.01890431130677309,0.640058899946368,0.015952920162685555,15.66,0.0,0,0.029,ok
205,0.8419160315501792,1.2112629572804008,0.02854207925143485,1.297758318933209,0.022308680672243474,19.14,0.0,0,0.019,ok
206,0.8447010897118992,0.7819362609579741,0.028460660502233445,0.4359694496519624,0.016152066562458742,12.92,0.0,0,0.028,ok
207,1.2317646851229707,0.8351891650800399,0.011250490046607222,0.5794238546861227,0.011147219333304132,20.82,0.0,0,0.033,ok
208,1.4950532421135057,0.7843990120922238,0.013635090325942963,1.1471775618287907,0.029961248875076976,15.79,0.012,1,0.0,ok
209,1.0210775250517252,1.202562628183289,0.027196430245943325,1.1379041718359513,0.025734626145665407,18.23,0.006,1,0.013,ok
210,0.9693314413458431,1.26264476463585,0.013307544204027135,0.7020979019609231,0.02805122621086923,16.84,0.011,1,0.0,ok
211,1.305320421524241,0.7853076077077776,0.021214304148498883,0.2224279707986429,0.024273347138152747,19.2,0.0,1,0.016,ok
212,1.1336753240504231,0.8528679274205354,0.014904305936620958,1.1530861133449497,0.018511821335856236,18.78,0.0,0,0.027,ok
213,1.4920381945748933,1.0103203886378036,0.02921395374661108,0.3167326400111944,0.025804797665046876,18.19,0.021,1,0.0,ok
214,1.0025998278186838,0.73166772706668,0.014555130170316953,0.44748578125163635,0.014273548593706404,14.75,0.0,0,0.031,ok
215,1.1106844549218833,0.9537465419175504,0.019797386678268483,0.3787666127496669,0.027479303771855566,17.17,0.003,1,0.01,ok
216,1.3444092719987746,0.8489047937976933,0.020350892769019056,0.7116543636312902,0.027188828231630945,17.34,0.006,1,0.0,ok
217,0.9868080135587525,1.0182823993257255,0.01879902157650542,1.2231062378702673,0.018126654816608457,19.35,0.0,0,0.027,ok
218,0.9380156379581616,1.049626216966769,0.02558100583482811,1.0613523556118631,0.019869733467784347,19.04,0.0,0,0.015,ok
219,0.8337440281788399,0.7453373720694464,0.020924989871363393,0.1403043472340463,0.017263627418252245,12.32,0.0,0,0.027,ok
220,1.46158798874752,0.8279966440377647,0.024877694588244133,0.8247663957879205,0.022964743495335588,20.17,0.003,1,0.017,ok
221,0.8891610625581071,0.7682611549992286,0.023867177621574052,0.24720403240646538,0.017224681548717223,13.47,0.0,0,0.027,ok
222,1.4053536582678758,0.9022926396009439,0.025796452596013143,1.0129945877310016,0.026732728796469745,17.61,0.01,1,0.0,ok
223,1.0358885749814537,0.8990344029791825,0.02388995195699195,0.9076151667584145,0.026128375735738757,17.88,0.0,1,0.013,ok
224,1.1613384747884334,1.0034657862371432,0.024154363887172885,1.2268885664979765,0.012997907175002172,22.91,0.0,0,0.031,ok
